,budget,production_company,popularity,revenue,vote_average,vote_count,title,genre
83,0.07105263157894737,0.019054878048780487,0.0027622049330987028,0.0,0.48,0.0024723676556137287,The Lovers,0
97,0.039473684210526314,0.022103658536585365,0.010823665313411413,0.027618710276912446,0.65,0.01039848749272833,シン・ゴジラ,0
235,0.2559221052631579,0.04496951219512195,0.02323526539891118,0.04766917656885278,0.5,0.03424956369982548,Astérix aux Jeux Olympiques,2
265,0.0,0.009146341463414634,0.020844585072542176,0.0,0.49000000000000005,0.026614310645724257,The Cat in the Hat,8
302,0.21052631578947367,0.014481707317073171,0.04262522256571022,0.050242160726168376,0.65,0.05111983711460151,Legend of the Guardians: The Owls of Ga'Hoole,3
314,0.02631578947368421,0.054878048780487805,0.0035303140694626866,0.0049624473651093464,0.71,0.005308318789994182,The Spanish Prisoner,13
317,0.24736842105263157,0.055640243902439025,0.014295127052764105,0.034186738723676134,0.71,0.01359802210587551,金陵十三釵,5
318,0.2236842105263158,0.001524390243902439,0.026531917558472767,0.05345996393390273,0.5900000000000001,0.043702734147760325,Surf's Up,3
319,0.23684210526315788,0.006859756097560976,0.021956560618890782,0.03658582400318272,0.54,0.02428737638161722,The Stepford Wives,0
321,0.0,0.056402439024390245,0.018799346109839566,0.03762878756594702,0.5599999999999999,0.04203025014543339,The Campaign,8
324,0.25,0.023628048780487805,0.042319946518273366,0.027415238216718745,0.7,0.062390924956369984,The Road to El Dorado,1
327,0.17105263157894737,0.008384146341463415,0.03341452910532392,0.03354618263912284,0.6599999999999999,0.07744328097731239,The Lovely Bones,2
336,0.23684210526315788,0.006859756097560976,0.024482800029632885,0.05840807252547923,0.63,0.04159394997091332,The Spiderwick Chronicles,1
340,0.2578947368421053,0.057926829268292686,0.008028161359612401,0.003593058624266768,0.5700000000000001,0.009889470622454915,Cutthroat Island,0
367,0.21052631578947367,0.011432926829268292,0.021357057183855697,0.05844582622637412,0.62,0.028504944735311226,The Interpreter,13
371,0.17894736842105263,0.006859756097560976,0.023885676727645525,0.042347482954688806,0.5900000000000001,0.02196044211751018,The Saint,6
372,0.24210526315789474,0.011432926829268292,0.031027109469862424,0.05130966692051693,0.6799999999999999,0.04210296684118674,Spy Game,0
373,0.23684210526315788,0.06021341463414634,0.01834014032540359,0.021834783829916733,0.5700000000000001,0.026832460732984294,Mission to Mars,4
376,0.23684210526315788,0.013719512195121951,0.02265480531245468,0.0,0.52,0.027341477603257707,Volcano,4
377,0.23684210526315788,0.001524390243902439,0.017531725394707917,0.050505491498645874,0.5900000000000001,0.02108784176847004,The Devil's Own,13
379,0.05263157894736842,0.011432926829268292,0.036321934717416106,0.02837699990179253,0.6599999999999999,0.04726585223967423,Conan the Barbarian,1
380,0.23157894736842105,0.04801829268292683,0.027525556864190927,0.03893158903105016,0.73,0.0447934845840605,Cinderella Man,12
381,0.23684210526315788,0.06173780487804878,0.004103958112719183,0.00580314261302656,0.54,0.0036358347876672484,The Nutcracker: The Untold Story,2
